|   benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |  time |
| adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 | 19.40 |
|   benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |  time |
| adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 | 19.40 |
| c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 | 43.41 |
|   benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |  time |
| adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 | 19.40 |
| c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 | 43.41 |
| c6288_no_T1 |     1.00 |  2625.00 |  47198.00 |  29.00 |        0 |            0 | 78.15 |
|   benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |   time |
| adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 |  19.40 |
| c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 |  43.41 |
| c6288_no_T1 |     1.00 |  2625.00 |  47198.00 |  29.00 |        0 |            0 |  78.15 |
|   sin_no_T1 |     1.00 | 13416.00 | 164938.00 |  88.00 |        0 |            0 | 167.24 |
|   benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |   time |
| adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 |  19.40 |
| c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 |  43.41 |
| c6288_no_T1 |     1.00 |  2625.00 |  47198.00 |  29.00 |        0 |            0 |  78.15 |
|   sin_no_T1 |     1.00 | 13416.00 | 164938.00 |  88.00 |        0 |            0 | 167.24 |
| voter_no_T1 |     1.00 | 10651.00 | 222101.00 |  38.00 |        0 |            0 | 604.27 |
|    benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |   time |
|  adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 |  19.40 |
|  c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 |  43.41 |
|  c6288_no_T1 |     1.00 |  2625.00 |  47198.00 |  29.00 |        0 |            0 |  78.15 |
|    sin_no_T1 |     1.00 | 13416.00 | 164938.00 |  88.00 |        0 |            0 | 167.24 |
|  voter_no_T1 |     1.00 | 10651.00 | 222101.00 |  38.00 |        0 |            0 | 604.27 |
| square_no_T1 |     1.00 | 44675.00 | 525311.00 | 126.00 |        0 |            0 | 589.65 |
|        benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |   time |
|      adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 |  19.40 |
|      c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 |  43.41 |
|      c6288_no_T1 |     1.00 |  2625.00 |  47198.00 |  29.00 |        0 |            0 |  78.15 |
|        sin_no_T1 |     1.00 | 13416.00 | 164938.00 |  88.00 |        0 |            0 | 167.24 |
|      voter_no_T1 |     1.00 | 10651.00 | 222101.00 |  38.00 |        0 |            0 | 604.27 |
|     square_no_T1 |     1.00 | 44675.00 | 525311.00 | 126.00 |        0 |            0 | 589.65 |
| multiplier_no_T1 |     1.00 | 58717.00 | 682792.00 | 136.00 |        0 |            0 | 776.37 |
|        benchmark | N_PHASES |     #DFF |      area |  delay | found_FA | committed_FA |    time |
|      adder_no_T1 |     1.00 | 32768.00 | 238419.00 | 128.00 |        0 |            0 |   19.40 |
|      c7552_no_T1 |     1.00 |  2489.00 |  32038.00 |  16.00 |        0 |            0 |   43.41 |
|      c6288_no_T1 |     1.00 |  2625.00 |  47198.00 |  29.00 |        0 |            0 |   78.15 |
|        sin_no_T1 |     1.00 | 13416.00 | 164938.00 |  88.00 |        0 |            0 |  167.24 |
|      voter_no_T1 |     1.00 | 10651.00 | 222101.00 |  38.00 |        0 |            0 |  604.27 |
|     square_no_T1 |     1.00 | 44675.00 | 525311.00 | 126.00 |        0 |            0 |  589.65 |
| multiplier_no_T1 |     1.00 | 58717.00 | 682792.00 | 136.00 |        0 |            0 |  776.37 |
|       log2_no_T1 |     1.00 | 86985.00 | 978178.00 | 160.00 |        0 |            0 | 1210.69 |
