|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_no_T1 |     4.00 | 7963.00 | 64784.00 | 32.00 |        0 |            0 | 21.45 |
|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_no_T1 |     4.00 | 7963.00 | 64784.00 | 32.00 |        0 |            0 | 21.45 |
| c7552_no_T1 |     4.00 |  713.00 | 19606.00 |  4.00 |        0 |            0 | 45.60 |
|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_no_T1 |     4.00 | 7963.00 | 64784.00 | 32.00 |        0 |            0 | 21.45 |
| c7552_no_T1 |     4.00 |  713.00 | 19606.00 |  4.00 |        0 |            0 | 45.60 |
| c6288_no_T1 |     4.00 | 1431.00 | 38840.00 |  8.00 |        0 |            0 | 77.30 |
|   benchmark | N_PHASES |    #DFF |      area | delay | found_FA | committed_FA |   time |
| adder_no_T1 |     4.00 | 7963.00 |  64784.00 | 32.00 |        0 |            0 |  21.45 |
| c7552_no_T1 |     4.00 |  713.00 |  19606.00 |  4.00 |        0 |            0 |  45.60 |
| c6288_no_T1 |     4.00 | 1431.00 |  38840.00 |  8.00 |        0 |            0 |  77.30 |
|   sin_no_T1 |     4.00 | 4631.00 | 103443.00 | 22.00 |        0 |            0 | 476.56 |
|   benchmark | N_PHASES |    #DFF |      area | delay | found_FA | committed_FA |   time |
| adder_no_T1 |     4.00 | 7963.00 |  64784.00 | 32.00 |        0 |            0 |  21.45 |
| c7552_no_T1 |     4.00 |  713.00 |  19606.00 |  4.00 |        0 |            0 |  45.60 |
| c6288_no_T1 |     4.00 | 1431.00 |  38840.00 |  8.00 |        0 |            0 |  77.30 |
|   sin_no_T1 |     4.00 | 4631.00 | 103443.00 | 22.00 |        0 |            0 | 476.56 |
| voter_no_T1 |     4.00 | 5779.00 | 187997.00 | 10.00 |        0 |            0 | 561.31 |
|    benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|  adder_no_T1 |     4.00 |  7963.00 |  64784.00 | 32.00 |        0 |            0 |  21.45 |
|  c7552_no_T1 |     4.00 |   713.00 |  19606.00 |  4.00 |        0 |            0 |  45.60 |
|  c6288_no_T1 |     4.00 |  1431.00 |  38840.00 |  8.00 |        0 |            0 |  77.30 |
|    sin_no_T1 |     4.00 |  4631.00 | 103443.00 | 22.00 |        0 |            0 | 476.56 |
|  voter_no_T1 |     4.00 |  5779.00 | 187997.00 | 10.00 |        0 |            0 | 561.31 |
| square_no_T1 |     4.00 | 16645.00 | 329101.00 | 32.00 |        0 |            0 | 844.79 |
|        benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|      adder_no_T1 |     4.00 |  7963.00 |  64784.00 | 32.00 |        0 |            0 |  21.45 |
|      c7552_no_T1 |     4.00 |   713.00 |  19606.00 |  4.00 |        0 |            0 |  45.60 |
|      c6288_no_T1 |     4.00 |  1431.00 |  38840.00 |  8.00 |        0 |            0 |  77.30 |
|        sin_no_T1 |     4.00 |  4631.00 | 103443.00 | 22.00 |        0 |            0 | 476.56 |
|      voter_no_T1 |     4.00 |  5779.00 | 187997.00 | 10.00 |        0 |            0 | 561.31 |
|     square_no_T1 |     4.00 | 16645.00 | 329101.00 | 32.00 |        0 |            0 | 844.79 |
| multiplier_no_T1 |     4.00 | 14641.00 | 374260.00 | 33.00 |        0 |            0 | 829.82 |
|        benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |    time |
|      adder_no_T1 |     4.00 |  7963.00 |  64784.00 | 32.00 |        0 |            0 |   21.45 |
|      c7552_no_T1 |     4.00 |   713.00 |  19606.00 |  4.00 |        0 |            0 |   45.60 |
|      c6288_no_T1 |     4.00 |  1431.00 |  38840.00 |  8.00 |        0 |            0 |   77.30 |
|        sin_no_T1 |     4.00 |  4631.00 | 103443.00 | 22.00 |        0 |            0 |  476.56 |
|      voter_no_T1 |     4.00 |  5779.00 | 187997.00 | 10.00 |        0 |            0 |  561.31 |
|     square_no_T1 |     4.00 | 16645.00 | 329101.00 | 32.00 |        0 |            0 |  844.79 |
| multiplier_no_T1 |     4.00 | 14641.00 | 374260.00 | 33.00 |        0 |            0 |  829.82 |
|       log2_no_T1 |     4.00 | 33790.00 | 605813.00 | 40.00 |        0 |            0 | 1282.29 |
