|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_with_T1 |     7.00 | 3231.00 | 29755.00 | 19.00 |      127 |          127 | 22.31 |
|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_with_T1 |     7.00 | 3231.00 | 29755.00 | 19.00 |      127 |          127 | 22.31 |
| c7552_with_T1 |     7.00 |  623.00 | 18913.00 |  4.00 |       17 |            9 | 42.36 |
|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |   time |
| adder_with_T1 |     7.00 | 3231.00 | 29755.00 | 19.00 |      127 |          127 |  22.31 |
| c7552_with_T1 |     7.00 |  623.00 | 18913.00 |  4.00 |       17 |            9 |  42.36 |
| c6288_with_T1 |     7.00 | 1015.00 | 33048.00 |  6.00 |      142 |          142 | 344.69 |
|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |   time |
| adder_with_T1 |     7.00 | 3231.00 | 29755.00 | 19.00 |      127 |          127 |  22.31 |
| c7552_with_T1 |     7.00 |  623.00 | 18913.00 |  4.00 |       17 |            9 |  42.36 |
| c6288_with_T1 |     7.00 | 1015.00 | 33048.00 |  6.00 |      142 |          142 | 344.69 |
|   sin_with_T1 |     7.00 | 3601.00 | 95015.00 | 15.00 |       81 |           77 | 435.70 |
|     benchmark | N_PHASES |    #DFF |      area | delay | found_FA | committed_FA |   time |
| adder_with_T1 |     7.00 | 3231.00 |  29755.00 | 19.00 |      127 |          127 |  22.31 |
| c7552_with_T1 |     7.00 |  623.00 |  18913.00 |  4.00 |       17 |            9 |  42.36 |
| c6288_with_T1 |     7.00 | 1015.00 |  33048.00 |  6.00 |      142 |          142 | 344.69 |
|   sin_with_T1 |     7.00 | 3601.00 |  95015.00 | 15.00 |       81 |           77 | 435.70 |
| voter_with_T1 |     7.00 | 5415.00 | 181789.00 |  6.00 |      252 |          252 | 549.36 |
|      benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|  adder_with_T1 |     7.00 |  3231.00 |  29755.00 | 19.00 |      127 |          127 |  22.31 |
|  c7552_with_T1 |     7.00 |   623.00 |  18913.00 |  4.00 |       17 |            9 |  42.36 |
|  c6288_with_T1 |     7.00 |  1015.00 |  33048.00 |  6.00 |      142 |          142 | 344.69 |
|    sin_with_T1 |     7.00 |  3601.00 |  95015.00 | 15.00 |       81 |           77 | 435.70 |
|  voter_with_T1 |     7.00 |  5415.00 | 181789.00 |  6.00 |      252 |          252 | 549.36 |
| square_with_T1 |     7.00 | 11844.00 | 284067.00 | 19.00 |      861 |          806 | 728.55 |
|          benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|      adder_with_T1 |     7.00 |  3231.00 |  29755.00 | 19.00 |      127 |          127 |  22.31 |
|      c7552_with_T1 |     7.00 |   623.00 |  18913.00 |  4.00 |       17 |            9 |  42.36 |
|      c6288_with_T1 |     7.00 |  1015.00 |  33048.00 |  6.00 |      142 |          142 | 344.69 |
|        sin_with_T1 |     7.00 |  3601.00 |  95015.00 | 15.00 |       81 |           77 | 435.70 |
|      voter_with_T1 |     7.00 |  5415.00 | 181789.00 |  6.00 |      252 |          252 | 549.36 |
|     square_with_T1 |     7.00 | 11844.00 | 284067.00 | 19.00 |      861 |          806 | 728.55 |
| multiplier_with_T1 |     7.00 |  8549.00 | 320612.00 | 21.00 |      824 |          769 | 726.63 |
|          benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |    time |
|      adder_with_T1 |     7.00 |  3231.00 |  29755.00 | 19.00 |      127 |          127 |   22.31 |
|      c7552_with_T1 |     7.00 |   623.00 |  18913.00 |  4.00 |       17 |            9 |   42.36 |
|      c6288_with_T1 |     7.00 |  1015.00 |  33048.00 |  6.00 |      142 |          142 |  344.69 |
|        sin_with_T1 |     7.00 |  3601.00 |  95015.00 | 15.00 |       81 |           77 |  435.70 |
|      voter_with_T1 |     7.00 |  5415.00 | 181789.00 |  6.00 |      252 |          252 |  549.36 |
|     square_with_T1 |     7.00 | 11844.00 | 284067.00 | 19.00 |      861 |          806 |  728.55 |
| multiplier_with_T1 |     7.00 |  8549.00 | 320612.00 | 21.00 |      824 |          769 |  726.63 |
|       log2_with_T1 |     7.00 | 26289.00 | 544693.00 | 28.00 |      644 |          593 | 1151.15 |
