benchmark,N_PHASES,#DFF,area,delay,found_FA,committed_FA,time
adder_no_T1,1.00,32768.00,238419.00,128.00,0,0,19.40
c7552_no_T1,1.00,2489.00,32038.00,16.00,0,0,43.41
c6288_no_T1,1.00,2625.00,47198.00,29.00,0,0,78.15
sin_no_T1,1.00,13416.00,164938.00,88.00,0,0,167.24
voter_no_T1,1.00,10651.00,222101.00,38.00,0,0,604.27
square_no_T1,1.00,44675.00,525311.00,126.00,0,0,589.65
multiplier_no_T1,1.00,58717.00,682792.00,136.00,0,0,776.37
log2_no_T1,1.00,86985.00,978178.00,160.00,0,0,1210.69

benchmark,N_PHASES,#DFF,area,delay,found_FA,committed_FA,time
adder_no_T1,7.00,4411.00,39920.00,19.00,0,0,22.44
c7552_no_T1,7.00,605.00,18850.00,3.00,0,0,43.20
c6288_no_T1,7.00,1293.00,37874.00,5.00,0,0,78.60
sin_no_T1,7.00,3645.00,96541.00,13.00,0,0,448.94
voter_no_T1,7.00,5574.00,186562.00,6.00,0,0,580.16
square_no_T1,7.00,13283.00,305567.00,18.00,0,0,859.91
multiplier_no_T1,7.00,9760.00,340093.00,19.00,0,0,835.08
log2_no_T1,7.00,26307.00,553432.00,23.00,0,0,1256.86

benchmark,N_PHASES,#DFF,area,delay,found_FA,committed_FA,time
adder_with_T1,7.00,3231.00,29755.00,19.00,127,127,22.31
c7552_with_T1,7.00,623.00,18913.00,4.00,17,9,42.36
c6288_with_T1,7.00,1015.00,33048.00,6.00,142,142,344.69
sin_with_T1,7.00,3601.00,95015.00,15.00,81,77,435.70
voter_with_T1,7.00,5415.00,181789.00,6.00,252,252,549.36
square_with_T1,7.00,11844.00,284067.00,19.00,861,806,728.55
multiplier_with_T1,7.00,8549.00,320612.00,21.00,824,769,726.63
log2_with_T1,7.00,26289.00,544693.00,28.00,644,593,1151.15

benchmark,N_PHASES,#DFF,area,delay,found_FA,committed_FA,time
adder_with_T1,4.00,5958.00,48844.00,33.00,127,127,21.83
c7552_with_T1,4.00,765.00,19907.00,5.00,17,9,44.46
c6288_with_T1,4.00,1349.00,35386.00,10.00,142,142,346.46
sin_with_T1,4.00,4714.00,102806.00,25.00,81,77,435.70
voter_with_T1,4.00,5584.00,182972.00,11.00,252,252,549.07
square_with_T1,4.00,14304.00,301287.00,32.00,861,806,726.31
multiplier_with_T1,4.00,13745.00,356984.00,36.00,824,769,723.55
log2_with_T1,4.00,33946.00,598292.00,47.00,644,593,1165.58

benchmark,N_PHASES,#DFF,area,delay,found_FA,committed_FA,time
adder_no_T1,4.00,7963.00,64784.00,32.00,0,0,21.45
c7552_no_T1,4.00,713.00,19606.00,4.00,0,0,45.60
c6288_no_T1,4.00,1431.00,38840.00,8.00,0,0,77.30
sin_no_T1,4.00,4631.00,103443.00,22.00,0,0,476.56
voter_no_T1,4.00,5779.00,187997.00,10.00,0,0,561.31
square_no_T1,4.00,16645.00,329101.00,32.00,0,0,844.79
multiplier_no_T1,4.00,14641.00,374260.00,33.00,0,0,829.82
log2_no_T1,4.00,33790.00,605813.00,40.00,0,0,1282.29




